"runner_id","name","profile_url","nationality","toyko_time","chicago_time","berlin_time","newyorkcity_time","boston_time","london_time","toyko_year","chicago_year","berlin_year","newyorkcity_year","boston_year","london_year"
168359,"Alex Abarbanel-Grossman","/members/profile/abarbanel-grossman/view/","USA",NA,NA,NA,"4:36:56",NA,NA,NA,NA,NA,"2018",NA,NA
501894,"Allan Abarca Molina","/members/profile/abarca-molina/view/","CRC",NA,NA,"3:58:59",NA,NA,NA,NA,NA,"2019",NA,NA,NA
118496,"Jose Carlos Abarca","/members/profile/abarca-1/view/","CRC",NA,"3:33:44",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
118496,"Jose Carlos Abarca","/members/profile/abarca-1/view/","CRC",NA,"3:33:44",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
40802,"Ana Lopez Abarca","/members/profile/lopez-abarca/view/","CRC",NA,NA,"3:51:17",NA,NA,NA,NA,NA,"2018",NA,NA,NA
555296,"Jacqueline Abarca","/members/profile/abarca-10/view/","USA",NA,"4:37:23",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
175279,"Rodrigo Abarca","/members/profile/abarca-4/view/","USA",NA,NA,NA,"4:34:50",NA,NA,NA,NA,NA,"2018",NA,NA
538172,"Juan Abarca","/members/profile/abarca-9/view/","USA",NA,"5:33:58",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
380917,"Gonzalo Abarca","/members/profile/abarca-6/view/","CHI",NA,NA,NA,NA,"2:33:04",NA,NA,NA,NA,NA,"2019",NA
109001,"Jacqueline Abarca","/members/profile/abarca-2/view/","USA",NA,"4:36:09",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
560272,"Ricardo Abarca","/members/profile/abarca-11/view/","CRC",NA,"4:22:05",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
495925,"Octavio Abarca","/members/profile/abarca-8/view/","CHI",NA,NA,"3:20:13",NA,NA,NA,NA,NA,"2019",NA,NA,NA
169956,"Jose Maria Abarca Platas","/members/profile/abarca-platas/view/","ESP",NA,NA,NA,"4:44:40",NA,NA,NA,NA,NA,"2018",NA,NA
11088,"Monica Morales Abaroa","/members/profile/morales-abaroa/view/","MEX",NA,NA,"4:03:13",NA,NA,NA,NA,NA,"2018",NA,NA,NA
